date,sku_id,units_sold,price,promotion_flag
2022-01-01,SKU_001,78,197395.0,0
2022-01-01,SKU_001,84,200135.0,0
2022-01-01,SKU_001,68,205498.0,0
2022-01-01,SKU_001,78,199523.0,1
2022-01-01,SKU_001,80,201477.0,1
2022-01-01,SKU_001,61,201762.0,0
2022-01-01,SKU_001,73,198591.0,0
2022-01-01,SKU_001,50,201627.0,0
2022-01-01,SKU_001,75,194141.0,1
2022-01-01,SKU_002,27,98197.0,0
2022-01-01,SKU_002,62,99227.0,1
2022-01-01,SKU_002,37,102805.0,0
2022-01-01,SKU_002,43,99083.0,0
2022-01-01,SKU_002,31,100698.0,0
2022-01-01,SKU_002,37,100984.0,0
2022-01-01,SKU_002,36,99852.0,0
2022-01-01,SKU_002,45,100458.0,1
2022-01-01,SKU_002,45,97413.0,0
2022-01-01,SKU_003,8,489660.0,0
2022-01-01,SKU_003,13,500274.0,0
2022-01-01,SKU_003,2,515691.0,0
2022-01-01,SKU_003,40,496398.0,0
2022-01-01,SKU_003,0,500966.0,1
2022-01-01,SKU_003,24,504563.0,0
2022-01-01,SKU_003,3,498779.0,0
2022-01-01,SKU_003,4,503981.0,1
2022-01-01,SKU_003,5,485459.0,0
2022-01-02,SKU_001,86,200374.0,0
2022-01-02,SKU_001,85,198017.0,0
2022-01-02,SKU_001,55,205479.0,0
2022-01-02,SKU_001,92,197960.0,0
2022-01-02,SKU_001,158,179532.0,1
2022-01-02,SKU_001,86,197681.0,0
2022-01-02,SKU_001,127,172983.0,1
2022-01-02,SKU_001,72,206690.0,0
2022-01-02,SKU_001,131,170371.0,1
2022-01-02,SKU_002,40,96287.0,0
2022-01-02,SKU_002,37,101585.0,0
2022-01-02,SKU_002,60,107647.0,0
2022-01-02,SKU_002,81,80518.0,1
2022-01-02,SKU_002,51,103866.0,0
2022-01-02,SKU_002,47,98757.0,0
2022-01-02,SKU_002,64,101916.0,0
2022-01-02,SKU_002,48,105647.0,0
2022-01-02,SKU_002,37,96132.0,0
2022-01-02,SKU_003,39,448780.0,0
2022-01-02,SKU_003,21,478281.0,0
2022-01-02,SKU_003,24,570658.0,0
2022-01-02,SKU_003,82,537021.0,0
2022-01-02,SKU_003,2,491307.0,1
2022-01-02,SKU_003,1,510989.0,0
2022-01-02,SKU_003,4,473222.0,0
2022-01-02,SKU_003,24,454271.0,1
2022-01-02,SKU_003,9,503363.0,0
2022-01-03,SKU_001,57,209376.0,0
2022-01-03,SKU_001,116,187516.0,1
2022-01-03,SKU_001,75,198380.0,0
2022-01-03,SKU_001,63,194442.0,0
2022-01-03,SKU_001,92,181730.0,0
2022-01-03,SKU_001,108,187532.0,0
2022-01-03,SKU_001,184,167429.0,1
2022-01-03,SKU_001,80,203319.0,0
2022-01-03,SKU_001,65,177667.0,0
2022-01-03,SKU_002,73,88975.0,1
2022-01-03,SKU_002,79,95427.0,1
2022-01-03,SKU_002,44,103982.0,0
2022-01-03,SKU_002,68,79106.0,0
2022-01-03,SKU_002,45,104008.0,0
2022-01-03,SKU_002,47,93248.0,0
2022-01-03,SKU_002,41,99585.0,0
2022-01-03,SKU_002,91,88808.0,1
2022-01-03,SKU_002,59,95398.0,0
